SHEET,CHAIN,CO_OWNED,STATE,SOUTNJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,EMPFT,EMPPT,NMGRS,WAGE_ST,PSODA,PFRY,PENTREE,STATUS2,EMPFT2,EMPPT2,NMGRS2,WAGE_ST2,PSODA2,PFRY2,PENTREE2,Full_Time_Equivalent1,Full_Time_Equivalent2,FULLMEAL,FULLMEAL2,treat,store_id,dFTE,GAP,NJ,KFC,ROYS,WEND,NJ_x_CO,GAP_x_CO,large,NJ_x_large
470,1,0,0,0,0,0,0,1,0,10.5,30.0,3.0,5.5,0.97,0.84,0.94,1,18.0,10.0,3.0,4.75,1.03,0.84,0.94,28.5,26.0,2.75,2.81,0,470,-2.5,0.0,0,0,0,0,0,0.0,1,0
474,1,0,0,0,0,0,0,1,0,6.0,9.0,3.0,5.0,1.13,0.98,1.01,1,5.0,20.0,3.0,4.5,1.09,0.94,0.94,13.5,18.0,3.12,2.97,0,474,4.5,0.0,0,0,0,0,0,0.0,0,0
481,2,1,0,0,0,0,0,1,0,5.0,17.5,3.0,5.25,0.95,0.74,2.53,1,15.0,4.0,3.0,5.0,0.74,0.73,2.53,16.75,20.0,4.22,4.0,0,481,3.25,0.0,0,1,0,0,0,0.0,0,0
483,2,1,0,0,0,0,0,1,0,1.0,15.0,1.0,5.0,0.94,0.73,2.32,1,4.0,13.0,3.0,4.75,0.95,0.74,2.33,9.5,13.5,3.9899999999999998,4.02,0,483,4.0,0.0,0,1,0,0,0,0.0,0,0
487,3,1,0,0,0,0,0,1,0,10.0,6.0,2.0,5.0,1.11,0.91,0.95,1,6.0,20.0,3.0,4.75,1.05,1.01,0.94,15.0,19.0,2.9699999999999998,3.0,0,487,4.0,0.0,0,0,1,0,0,0.0,0,0
488,3,0,0,0,0,0,0,1,0,20.0,13.0,3.0,5.0,1.05,0.79,1.01,1,5.0,15.0,3.0,4.75,1.01,1.01,0.94,29.5,15.5,2.85,2.96,0,488,-14.0,0.0,0,0,1,0,0,0.0,1,0
489,3,0,0,0,0,0,0,1,0,5.0,23.0,2.0,5.0,1.05,1.01,0.94,1,2.0,19.0,3.0,4.25,1.01,1.01,1.05,18.5,14.5,3.0,3.0700000000000003,0,489,-4.0,0.0,0,0,1,0,0,0.0,0,0
490,3,1,0,0,0,0,0,1,0,10.0,12.5,4.0,5.0,1.05,1.01,1.05,1,2.0,18.0,3.0,5.0,1.01,1.01,1.05,20.25,14.0,3.1100000000000003,3.0700000000000003,0,490,-6.25,0.0,0,0,1,0,0,0.0,1,0
493,3,1,0,0,0,0,1,0,0,27.0,12.0,3.0,5.0,1.05,0.9,2.01,1,0.0,30.0,4.0,4.9,1.02,1.01,0.84,36.0,19.0,3.96,2.87,0,493,-17.0,0.0,0,0,1,0,0,0.0,1,0
495,3,0,0,0,0,0,0,1,0,4.0,28.0,3.0,5.0,1.05,1.01,0.94,1,8.0,20.0,3.0,5.0,0.96,1.01,1.01,21.0,21.0,3.0,2.98,0,495,0.0,0.0,0,0,1,0,0,0.0,1,0
496,3,1,0,0,0,0,0,1,0,10.0,15.0,3.0,5.0,1.05,0.9,0.73,1,10.0,10.0,3.0,4.75,1.01,1.01,0.89,20.5,18.0,2.68,2.91,0,496,-2.5,0.0,0,0,1,0,0,0.0,1,0
499,4,1,0,0,0,0,0,1,0,0.0,28.0,5.0,5.0,0.9,0.69,1.75,1,0.0,31.0,5.0,5.0,0.9,0.69,0.94,19.0,20.5,3.34,2.53,0,499,1.5,0.0,0,0,0,1,0,0.0,0,0
509,3,1,0,0,0,0,0,1,0,3.0,16.0,3.0,5.0,1.05,0.95,1.16,1,5.5,10.0,3.0,4.25,1.0,1.01,0.94,14.0,13.5,3.16,2.9499999999999997,0,509,-0.5,0.0,0,0,1,0,0,0.0,0,0
515,3,1,0,0,0,0,0,1,0,7.0,16.0,4.0,5.0,1.05,0.94,1.16,1,5.0,19.0,3.0,4.75,1.01,1.01,0.94,19.0,17.5,3.15,2.96,0,515,-1.5,0.0,0,0,1,0,0,0.0,0,0
37,1,0,0,0,0,0,1,0,0,21.0,9.0,7.0,4.25,0.98,0.84,0.84,1,6.0,25.0,7.0,4.25,0.98,0.84,0.86,32.5,25.5,2.6599999999999997,2.6799999999999997,0,37,-7.0,0.0,0,0,0,0,0,0.0,1,0
39,1,0,0,0,0,0,1,0,0,1.0,32.0,2.0,4.25,1.03,0.73,0.52,1,5.0,15.0,3.0,,1.05,,0.63,19.0,15.5,2.2800000000000002,,0,39,-3.5,0.0,0,0,0,0,0,0.0,0,0
40,1,0,0,0,0,0,1,0,0,10.0,20.0,7.0,4.25,0.98,0.82,0.8,1,7.0,25.0,6.0,4.25,0.98,0.82,0.87,27.0,25.5,2.5999999999999996,2.67,0,40,-1.5,0.0,0,0,0,0,0,0.0,1,0
41,1,0,0,0,0,0,1,0,0,0.0,27.0,6.0,4.25,0.98,0.82,0.85,1,0.0,42.0,6.0,4.25,0.94,0.78,0.91,19.5,27.0,2.65,2.63,0,41,7.5,0.0,0,0,0,0,0,0.0,1,0
42,1,0,0,0,0,0,1,0,0,17.0,4.0,5.0,4.5,0.98,0.83,0.86,1,0.0,22.0,5.0,4.25,0.94,,,24.0,16.0,2.67,,0,42,-8.0,0.0,0,0,0,0,0,0.0,1,0
45,1,0,0,0,0,0,1,0,0,0.0,24.0,6.0,4.25,0.98,0.83,0.86,1,11.0,12.0,2.0,4.25,0.98,0.75,0.86,18.0,19.0,2.67,2.59,0,45,1.0,0.0,0,0,0,0,0,0.0,0,0
47,1,0,0,0,0,0,1,0,0,25.0,15.0,,4.5,1.05,0.86,0.86,1,0.0,45.0,2.0,4.25,1.05,0.86,0.86,,24.5,2.77,2.77,0,47,,0.0,0,0,0,0,0,0.0,0,0
48,1,0,0,0,0,0,1,0,0,6.0,20.0,3.0,4.25,1.01,0.84,0.63,1,7.5,25.0,5.0,4.38,0.98,0.79,0.87,19.0,25.0,2.48,2.64,0,48,6.0,0.0,0,0,0,0,0,0.0,0,0
50,2,0,0,0,0,0,1,0,0,6.0,10.0,3.0,4.5,1.01,0.89,3.5,1,4.0,20.0,3.0,4.75,1.01,0.89,2.35,14.0,17.0,5.4,4.25,0,50,3.0,0.0,0,1,0,0,0,0.0,0,0
51,2,0,0,0,0,0,1,0,0,0.0,15.0,3.0,4.25,1.01,0.89,2.35,1,6.0,15.0,3.0,4.25,1.0,0.89,2.35,10.5,16.5,4.25,4.24,0,51,6.0,0.0,0,1,0,0,0,0.0,0,0
57,4,1,0,0,0,0,1,0,0,30.0,10.0,3.0,4.67,0.87,0.79,0.9,1,7.0,18.0,4.0,4.5,1.01,0.78,0.9,38.0,20.0,2.56,2.69,0,57,-18.0,0.0,0,0,0,1,0,0.0,1,0
58,4,1,0,0,0,0,1,0,0,8.0,25.0,3.0,4.75,0.87,0.77,1.01,1,0.0,28.0,4.0,4.5,1.04,0.84,0.94,23.5,18.0,2.6500000000000004,2.82,0,58,-5.5,0.0,0,0,0,1,0,0.0,1,0
59,4,0,0,0,0,0,1,0,0,0.0,15.0,3.0,4.25,0.91,0.89,0.81,1,0.0,16.0,4.0,4.25,1.01,0.84,0.86,10.5,12.0,2.6100000000000003,2.71,0,59,1.5,0.0,0,0,0,1,0,0.0,0,0
60,4,0,0,0,0,0,1,0,0,10.0,20.0,5.0,4.25,0.94,0.74,0.86,1,10.0,20.0,5.0,4.25,0.98,0.84,0.86,25.0,25.0,2.54,2.6799999999999997,0,60,0.0,0.0,0,0,0,1,0,0.0,1,0
407,2,1,0,0,0,0,0,1,0,2.0,12.0,3.0,4.75,0.95,0.74,2.33,1,1.0,14.0,3.0,4.25,0.95,0.84,2.53,11.0,11.0,4.02,4.32,0,407,0.0,0.0,0,1,0,0,0,0.0,0,0
430,1,0,0,0,0,0,1,0,0,20.0,25.0,4.0,4.25,0.95,0.75,0.8,1,0.0,48.0,3.0,4.25,0.91,0.73,0.75,36.5,27.0,2.5,2.39,0,430,-9.5,0.0,0,0,0,0,0,0.0,1,0
432,1,0,0,0,0,0,1,0,0,20.0,55.0,5.0,4.5,0.94,0.74,0.79,1,25.0,10.0,4.0,5.05,0.94,0.74,0.79,52.5,34.0,2.4699999999999998,2.4699999999999998,0,432,-18.5,0.0,0,0,0,0,0,0.0,1,0
433,1,0,0,0,0,0,1,0,0,10.0,30.0,4.0,4.25,0.95,0.73,0.8,1,0.0,42.0,4.0,,0.94,0.74,0.74,29.0,25.0,2.48,2.42,0,433,-4.0,0.0,0,0,0,0,0,0.0,1,0
434,1,0,0,0,0,0,1,0,0,15.0,50.0,5.0,4.25,0.95,0.75,,1,19.0,29.0,4.0,4.25,0.95,0.8,0.8,45.0,37.5,,2.55,0,434,-7.5,0.0,0,0,0,0,0,0.0,1,0
435,1,0,0,0,0,0,1,0,0,1.0,37.5,3.0,4.25,0.95,0.75,0.79,1,0.0,32.0,5.0,4.25,0.94,0.74,0.79,22.75,21.0,2.49,2.4699999999999998,0,435,-1.75,0.0,0,0,0,0,0,0.0,1,0
438,2,0,0,0,0,0,1,0,0,0.0,9.0,3.0,4.25,1.01,0.84,2.43,1,2.0,9.0,3.0,4.25,0.95,0.84,2.43,7.5,9.5,4.28,4.220000000000001,0,438,2.0,0.0,0,1,0,0,0,0.0,0,0
440,4,0,0,0,0,0,1,0,0,0.0,25.0,3.0,4.25,0.89,0.79,2.01,1,0.0,30.0,3.0,,1.0,0.8,1.8,15.5,18.0,3.69,3.6,0,440,2.5,0.0,0,0,0,1,0,0.0,0,0
441,4,0,0,0,0,0,1,0,0,30.0,10.0,3.0,4.25,0.89,0.77,0.84,1,0.0,30.0,3.0,4.25,1.0,0.8,1.81,38.0,18.0,2.5,3.6100000000000003,0,441,-20.0,0.0,0,0,0,1,0,0.0,1,0
443,4,0,0,0,0,0,1,0,0,4.0,19.0,4.0,4.25,0.89,0.79,1.8,1,5.0,20.0,4.0,4.35,1.0,0.8,1.81,17.5,19.0,3.4800000000000004,3.6100000000000003,0,443,1.5,0.0,0,0,0,1,0,0.0,0,0
444,4,0,0,0,0,0,1,0,0,12.0,20.0,3.0,4.25,0.89,0.8,0.84,1,10.0,35.0,4.0,4.5,0.89,,0.79,25.0,31.5,2.53,,0,444,6.5,0.0,0,0,0,1,0,0.0,1,0
446,1,0,0,0,0,0,0,1,0,,,3.0,4.5,1.03,0.84,0.94,1,7.0,24.0,4.0,5.0,0.97,0.84,0.91,,23.0,2.81,2.72,0,446,,0.0,0,0,0,0,0,0.0,0,0
448,1,0,0,0,0,0,0,1,0,8.0,18.0,4.0,4.75,0.97,0.84,0.91,1,8.0,27.0,3.0,4.5,0.96,0.83,0.87,21.0,24.5,2.72,2.66,0,448,3.5,0.0,0,0,0,0,0,0.0,1,0
449,1,0,0,0,0,0,0,1,0,0.0,25.0,3.0,4.87,,,,1,15.0,15.0,5.0,5.0,0.97,0.84,0.73,15.5,27.5,,2.54,0,449,12.0,0.0,0,0,0,0,0,0.0,0,0
450,1,0,0,0,0,0,0,1,0,2.0,21.0,3.0,4.75,0.97,0.82,0.84,1,27.5,8.0,3.0,4.75,0.91,0.84,0.86,15.5,34.5,2.63,2.61,0,450,19.0,0.0,0,0,0,0,0,0.0,0,0
454,2,1,0,0,0,0,0,1,0,1.0,9.0,3.0,4.5,0.94,0.73,2.53,1,0.0,18.0,5.0,5.0,0.94,0.73,2.64,8.5,14.0,4.199999999999999,4.3100000000000005,0,454,5.5,0.0,0,1,0,0,0,0.0,0,0
459,3,1,0,0,0,0,0,1,0,5.0,20.0,3.0,4.25,1.05,0.9,0.94,1,0.0,20.0,5.0,4.35,1.01,1.01,0.89,18.0,15.0,2.89,2.91,0,459,-3.0,0.0,0,0,1,0,0,0.0,0,0
466,4,0,0,0,0,0,0,1,0,8.0,17.5,4.0,4.75,0.94,0.8,0.94,1,14.0,12.0,3.0,,0.94,,,20.75,23.0,2.6799999999999997,,0,466,2.25,0.0,0,0,0,1,0,0.0,1,0
471,1,0,0,0,0,0,0,1,0,25.0,20.0,4.0,4.25,0.97,0.84,0.91,1,12.0,23.0,3.0,4.25,0.97,0.86,0.91,39.0,26.5,2.72,2.74,0,471,-12.5,0.0,0,0,0,0,0,0.0,1,0
472,1,0,0,0,0,0,0,1,0,37.5,2.0,3.0,4.25,0.97,1.05,0.91,1,8.0,25.0,3.0,4.9,0.96,0.84,0.91,41.5,23.5,2.93,2.71,0,472,-18.0,0.0,0,0,0,0,0,0.0,1,0
473,1,0,0,0,0,0,0,1,0,5.0,27.0,4.0,4.75,0.97,0.86,0.89,1,26.0,15.0,2.0,4.5,0.97,0.84,0.86,22.5,35.5,2.72,2.67,0,473,13.0,0.0,0,0,0,0,0,0.0,1,0
475,1,0,0,0,0,0,0,1,0,25.0,8.0,3.0,4.5,1.02,0.89,0.9,1,10.0,16.0,3.0,4.5,1.02,0.94,0.9,32.0,21.0,2.81,2.86,0,475,-11.0,0.0,0,0,0,0,0,0.0,1,0
476,1,0,0,0,0,0,1,0,0,6.0,30.0,3.0,4.25,0.95,0.79,0.91,1,5.0,30.0,3.0,4.75,0.96,0.84,1.18,24.0,23.0,2.65,2.9799999999999995,0,476,-1.0,0.0,0,0,0,0,0,0.0,1,0
477,1,0,0,0,0,0,0,1,0,8.0,28.0,4.0,4.25,0.97,0.78,0.99,1,6.0,20.0,4.0,6.25,0.96,0.84,0.89,26.0,20.0,2.74,2.69,0,477,-6.0,0.0,0,0,0,0,0,0.0,1,0
478,1,0,0,0,0,0,1,0,0,32.0,25.0,4.0,4.5,0.97,0.86,0.91,1,8.0,30.0,4.0,4.35,1.01,0.88,0.91,48.5,27.0,2.74,2.8000000000000003,0,478,-21.5,0.0,0,0,0,0,0,0.0,1,0
485,2,1,0,0,0,0,0,1,0,1.0,9.0,3.0,4.5,0.95,0.74,2.33,1,4.0,12.0,3.0,4.5,1.01,0.73,2.32,8.5,13.0,4.02,4.06,0,485,4.5,0.0,0,1,0,0,0,0.0,0,0
491,3,0,0,0,0,0,0,1,0,4.0,25.0,2.0,4.5,1.05,0.91,0.95,3,0.0,0.0,0.0,,,,,18.5,0.0,2.91,,0,491,-18.5,0.0,0,0,1,0,0,0.0,0,0
492,3,1,0,0,0,0,0,1,0,2.0,16.0,3.0,4.5,1.11,1.05,0.94,1,4.0,15.0,2.0,4.5,1.11,1.11,1.05,13.0,13.5,3.1,3.2700000000000005,0,492,0.5,0.0,0,0,1,0,0,0.0,0,0
497,4,1,0,0,0,0,0,1,0,12.0,15.0,3.0,4.5,0.91,0.84,0.84,1,,,5.0,,1.01,0.9,0.79,22.5,,2.59,2.7,0,497,,0.0,0,0,0,1,0,0.0,1,0
498,4,1,0,0,0,0,0,1,0,20.0,10.0,3.0,4.75,0.91,0.84,0.85,1,21.0,5.5,3.0,5.0,0.98,0.84,0.9,28.0,26.75,2.6,2.7199999999999998,0,498,-1.25,0.0,0,0,0,1,0,0.0,1,0
501,1,0,0,0,0,0,0,1,0,14.0,15.0,3.0,4.25,0.84,0.84,0.94,1,30.0,15.0,6.0,4.75,1.03,0.91,0.91,24.5,43.5,2.62,2.85,0,501,19.0,0.0,0,0,0,0,0,0.0,1,0
503,1,0,0,0,0,0,0,1,0,7.5,14.0,4.0,4.75,0.97,0.84,0.91,1,35.0,6.5,3.0,4.5,0.97,0.84,1.0,18.5,41.25,2.72,2.81,0,503,22.75,0.0,0,0,0,0,0,0.0,0,0
510,3,1,0,0,0,0,0,1,0,7.0,25.0,4.0,4.25,1.05,0.91,1.05,1,2.5,17.5,3.0,,1.05,1.01,,23.5,14.25,3.01,,0,510,-9.25,0.0,0,0,1,0,0,0.0,1,0
511,3,1,0,0,0,0,0,1,0,4.0,16.0,3.0,4.75,1.01,0.91,1.05,1,3.0,13.0,3.0,4.75,1.01,1.01,0.89,15.0,12.5,2.9699999999999998,2.91,0,511,-2.5,0.0,0,0,1,0,0,0.0,0,0
514,3,0,0,0,0,0,0,1,0,5.0,20.0,3.0,4.5,0.94,0.9,0.94,1,23.0,16.0,3.0,4.25,0.95,0.95,1.05,18.0,34.0,2.78,2.95,0,514,16.0,0.0,0,0,1,0,0,0.0,0,0
516,3,1,0,0,0,0,0,1,0,6.0,22.5,3.0,4.75,1.05,0.91,1.05,1,2.0,12.0,2.0,4.91,1.01,0.95,0.89,20.25,10.0,3.01,2.85,0,516,-10.25,0.0,0,0,1,0,0,0.0,1,0
521,1,0,0,0,0,0,1,0,0,2.5,20.0,3.0,4.25,,,0.52,1,0.0,12.0,8.0,4.4,0.41,0.84,0.89,15.5,14.0,,2.14,0,521,-1.5,0.0,0,0,0,0,0,0.0,0,0
522,1,0,0,0,0,0,1,0,0,2.0,30.0,4.0,4.35,1.0,0.87,0.94,1,3.0,23.0,3.0,4.25,1.0,0.74,0.95,21.0,17.5,2.81,2.69,0,522,-3.5,0.0,0,0,0,0,0,0.0,1,0
113,1,0,1,0,1,0,0,0,0,0.0,22.0,4.0,,1.06,0.95,1.0,1,2.0,40.0,5.0,5.05,1.05,0.9,0.98,15.0,27.0,3.01,2.93,1,113,12.0,0.0,1,0,0,0,0,0.0,0,0
123,1,0,1,0,1,0,0,0,0,0.0,20.0,5.0,,1.06,0.95,1.01,1,5.0,25.0,4.0,5.05,1.05,0.94,1.0,15.0,21.5,3.0199999999999996,2.99,1,123,6.5,0.0,1,0,0,0,0,0.0,0,0
135,3,0,1,0,1,0,0,0,0,10.0,20.0,4.0,,,,,1,8.0,24.0,3.0,5.05,1.16,1.06,1.05,24.0,23.0,,3.2699999999999996,1,135,-1.0,0.0,1,0,1,0,0,0.0,1,1
138,3,1,1,0,0,1,0,0,0,4.5,25.5,2.0,,1.12,1.07,1.06,1,2.0,33.0,3.0,5.05,1.21,1.01,0.94,19.25,21.5,3.2500000000000004,3.1599999999999997,1,138,2.25,0.0,1,0,1,0,1,0.0,0,0
153,1,0,1,0,0,1,0,0,0,0.0,25.0,9.0,,1.0,0.95,0.89,1,26.5,10.0,3.0,5.05,1.05,0.95,0.95,21.5,34.5,2.84,2.95,1,153,13.0,0.0,1,0,0,0,0,0.0,1,1
181,2,0,1,0,0,1,0,0,0,0.0,13.0,3.0,,0.91,0.79,2.34,1,1.0,15.0,2.0,5.05,0.95,0.9,2.49,9.5,10.5,4.04,4.34,1,181,1.0,0.0,1,1,0,0,0,0.0,0,0
191,4,0,1,0,0,1,0,0,0,30.0,20.0,4.0,,1.06,0.95,1.06,1,0.0,25.0,4.0,5.05,1.02,0.94,1.05,44.0,16.5,3.07,3.01,1,191,-27.5,0.0,1,0,0,1,0,0.0,1,1
231,1,0,1,0,0,1,0,0,0,,10.0,3.0,,1.02,1.02,0.95,1,16.0,6.0,4.0,5.05,0.9,0.95,0.95,,23.0,2.99,2.8,1,231,,0.0,1,0,0,0,0,0.0,0,0
236,1,0,1,0,0,1,0,0,0,0.0,34.0,4.0,,1.18,1.02,1.06,1,23.0,22.0,4.0,5.05,1.1,1.01,0.99,21.0,38.0,3.2600000000000002,3.1000000000000005,1,236,17.0,0.0,1,0,0,0,0,0.0,1,1
254,4,0,1,1,0,0,0,0,1,20.0,10.0,3.0,,1.06,0.86,1.06,1,28.0,10.0,3.0,5.25,1.0,0.85,1.05,28.0,36.0,2.98,2.9000000000000004,1,254,8.0,0.0,1,0,0,1,0,0.0,1,1
255,4,0,1,1,0,0,0,0,0,0.0,14.0,3.0,,1.01,0.79,0.85,1,8.0,12.0,2.0,,1.0,0.85,2.11,10.0,16.0,2.65,3.96,1,255,6.0,0.0,1,0,0,1,0,0.0,0,0
294,1,0,1,0,0,1,0,0,0,0.0,35.0,3.0,,1.06,0.95,0.95,1,0.0,35.0,3.0,5.05,1.05,0.94,0.94,20.5,20.5,2.96,2.9299999999999997,1,294,0.0,0.0,1,0,0,0,0,0.0,1,1
306,3,1,1,0,0,1,0,0,0,15.0,15.0,3.0,,1.02,,1.06,1,6.0,20.0,3.0,5.05,1.11,1.05,1.05,25.5,19.0,,3.21,1,306,-6.5,0.0,1,0,1,0,1,0.0,1,1
311,4,0,1,0,0,1,0,0,0,0.0,30.0,4.0,,0.91,0.91,1.06,1,35.0,30.0,3.0,5.05,1.01,0.95,1.05,19.0,53.0,2.88,3.01,1,311,34.0,0.0,1,0,0,1,0,0.0,0,0
315,1,0,1,1,0,0,0,0,0,5.0,19.0,2.0,,1.0,0.85,0.88,1,4.5,20.0,2.0,5.05,1.05,0.84,0.87,16.5,16.5,2.73,2.7600000000000002,1,315,0.0,0.0,1,0,0,0,0,0.0,0,0
335,1,1,1,1,0,0,0,0,0,9.0,10.0,3.0,,1.06,0.92,0.92,1,7.0,13.0,3.0,5.05,1.05,0.94,0.94,17.0,16.5,2.9,2.9299999999999997,1,335,-0.5,0.0,1,0,0,0,1,0.0,0,0
372,1,1,1,0,0,1,0,0,0,0.0,45.0,5.0,,1.1,0.95,1.1,1,30.0,20.0,5.0,5.05,1.06,1.05,1.04,27.5,45.0,3.15,3.1500000000000004,1,372,17.5,0.0,1,0,0,0,1,0.0,1,1
6,3,1,1,0,1,0,0,0,0,2.0,2.0,2.0,5.0,1.2,1.17,2.35,1,5.0,2.0,2.0,5.05,1.11,1.01,2.23,5.0,8.0,4.720000000000001,4.35,1,6,3.0,0.009999999999999964,1,0,1,0,1,0.009999999999999964,0,0
14,2,0,1,0,1,0,0,0,0,10.0,8.0,2.0,5.12,1.06,0.85,2.49,1,4.0,17.0,3.0,5.05,1.05,0.94,2.6,16.0,15.5,4.4,4.59,1,14,-0.5,0.0,1,1,0,0,0,0.0,0,0
26,1,0,1,0,0,1,0,0,0,30.0,15.0,4.0,5.56,1.06,0.91,0.98,1,10.0,20.0,4.0,5.05,1.01,0.94,0.94,41.5,24.0,2.95,2.8899999999999997,1,26,-17.5,0.0,1,0,0,0,0,0.0,1,1
27,2,1,1,0,1,0,0,0,0,4.0,10.0,4.0,5.0,1.06,0.85,2.34,1,0.0,7.0,4.0,5.05,1.05,0.84,2.53,13.0,7.5,4.25,4.42,1,27,-5.5,0.009999999999999964,1,1,0,0,1,0.009999999999999964,0,0
30,2,0,1,0,0,1,0,0,0,6.0,4.0,2.0,5.0,1.06,1.06,2.53,1,4.0,3.0,2.0,5.05,0.94,0.92,2.69,10.0,7.5,4.65,4.55,1,30,-2.5,0.009999999999999964,1,1,0,0,0,0.0,0,0
31,2,0,1,0,1,0,0,0,0,4.0,16.0,3.0,5.25,1.03,1.06,2.56,1,6.0,15.0,5.0,5.05,1.0,1.05,2.64,15.0,18.5,4.65,4.6899999999999995,1,31,3.5,0.0,1,1,0,0,0,0.0,0,0
33,3,0,1,0,0,1,0,0,0,12.0,20.0,4.0,5.0,1.02,1.07,0.95,1,6.0,11.0,5.0,5.05,1.11,1.06,1.05,26.0,16.5,3.04,3.2199999999999998,1,33,-9.5,0.009999999999999964,1,0,1,0,0,0.0,1,1
36,4,0,1,0,1,0,0,0,0,8.0,12.0,4.0,5.5,1.02,0.91,2.57,1,10.0,35.0,6.0,5.05,0.95,0.89,1.19,18.0,33.5,4.5,3.03,1,36,15.5,0.0,1,0,0,1,0,0.0,0,0
77,3,0,1,0,0,1,0,0,0,6.0,50.0,4.0,5.0,1.18,1.07,1.17,1,4.0,60.0,3.0,5.05,1.06,1.06,1.05,35.0,37.0,3.42,3.17,1,77,2.0,0.009999999999999964,1,0,1,0,0,0.0,1,1
78,3,1,1,0,0,1,0,0,0,13.0,10.0,3.0,5.0,1.12,1.02,1.02,1,10.0,12.0,2.0,5.05,1.11,1.01,1.05,21.0,18.0,3.16,3.17,1,78,-3.0,0.009999999999999964,1,0,1,0,1,0.009999999999999964,1,1
81,4,0,1,0,0,1,0,0,0,25.0,13.0,3.0,5.0,1.06,0.98,1.06,1,0.0,45.0,4.0,5.05,1.11,0.98,2.07,34.5,26.5,3.1,4.16,1,81,-8.0,0.009999999999999964,1,0,0,1,0,0.0,1,1
82,4,0,1,0,0,1,0,0,0,8.0,14.5,3.0,5.0,1.06,1.03,1.06,1,25.0,8.0,4.0,5.05,1.11,0.98,1.05,18.25,33.0,3.15,3.1399999999999997,1,82,14.75,0.009999999999999964,1,0,0,1,0,0.0,0,0
